Piloto,Escudería,Tiempo,Puntos
O. Piastri,McLaren F1,1:32:58.007,25
C. Leclerc,Ferrari,1:33:08.917,18
G. Russell,Mercedes,1:33:29.335,15
L. Norris,McLaren F1,1:33:34.150,13
M. Verstappen,Red Bull Racing,1:34:15.105,10
F. Alonso,Aston Martin Racing,1:34:23.475,8
A. Albon,Williams,1:34:25.403,6
F. Colapinto,Williams,1:34:27.548,4
L. Hamilton,Mercedes,1:34:30.408,2
O. Bearman,Haas F1 Team,1:34:31.134,1
N. Hulkenberg,Haas F1 Team,1:34:31.472,0
P. Gasly,Alpine,1:34:35.916,0
D. Ricciardo,Red Bull Racing,1:35:24.914,0
G. Zhou,Sauber F1 Team,1:35:26.848,0
E. Ocon,Alpine,1:33:19.351,0
V. Bottas,Sauber F1 Team,1:33:23.402,0
S. Pérez,Red Bull Racing,+2 Laps,0
C. Sainz,Ferrari,+2 Laps,0
L. Stroll,Aston Martin Racing,+6 Laps,0
Y. Tsunoda,AlphaTauri,+37 Laps,0
